iter,offloads,total
10000,8872,10000
20000,15804,20000
30000,21249,30000
40000,25577,40000
50000,29089,50000
60000,31773,60000
70000,35267,70000
80000,36844,80000
90000,41238,90000
100000,39415,100000
110000,41524,110000
120000,41817,120000
130000,43257,130000
140000,48336,140000
150000,52242,150000
160000,45660,160000
170000,45189,170000
180000,46302,180000
190000,48218,190000
200000,46911,200000
210000,49580,210000
220000,46083,220000
230000,48665,230000
240000,58039,240000
250000,49936,250000
260000,49420,260000
270000,62042,270000
280000,52235,280000
290000,78704,290000
300000,99067,300000
310000,121605,310000
320000,117689,320000
330000,125137,330000
340000,114905,340000
350000,123082,350000
360000,130532,360000
370000,132816,370000
380000,141597,380000
390000,138262,390000
400000,147868,400000
410000,153268,410000
420000,155642,420000
430000,165246,430000
440000,166783,440000
450000,169004,450000
460000,170618,460000
470000,174813,470000
480000,174519,480000
490000,185476,490000
500000,193233,500000
510000,191129,510000
520000,192018,520000
530000,199077,530000
540000,199335,540000
550000,212149,550000
560000,213683,560000
570000,216215,570000
580000,216338,580000
590000,216422,590000
600000,217680,600000
610000,227123,610000
620000,223553,620000
630000,243292,630000
640000,232461,640000
650000,243369,650000
660000,244254,660000
670000,244582,670000
680000,250038,680000
690000,256822,690000
700000,260171,700000
710000,267170,710000
720000,272084,720000
730000,272847,730000
740000,271216,740000
750000,274714,750000
760000,275454,760000
770000,282170,770000
780000,285334,780000
790000,300911,790000
800000,295456,800000
810000,305674,810000
820000,307905,820000
830000,310228,830000
840000,305844,840000
850000,315411,850000
860000,319281,860000
870000,321831,870000
880000,323438,880000
890000,325813,890000
900000,332296,900000
910000,331065,910000
920000,335036,920000
930000,341056,930000
940000,343394,940000
950000,351099,950000
960000,353404,960000
970000,362320,970000
980000,361380,980000
990000,364990,990000
1000000,364311,1000000
