iter,impl,latency_ns,throughput
10000,unbased,70379,66863.99
10000,based,75514,64508
20000,unbased,373306,24302.26
20000,based,72158,65796
30000,unbased,149859,44758.55
30000,based,68152,66617
40000,unbased,161564,42309.50
40000,based,81573,56349
50000,unbased,108702,52489.65
50000,based,115544,49391
60000,unbased,112237,52299.56
60000,based,85612,58541
70000,unbased,112712,50554.50
70000,based,145447,41275
80000,unbased,181660,36543.89
80000,based,193243,34865
90000,unbased,219787,32429.42
90000,based,267059,27111
100000,unbased,245650,25282.41
100000,based,190203,34057
110000,unbased,224079,31912.33
110000,based,220768,30771
120000,unbased,176765,36386.36
120000,based,179544,35519
130000,unbased,222427,31305.82
130000,based,172544,35345
140000,unbased,172762,37275.45
140000,based,223271,28885
150000,unbased,204371,29644.62
150000,based,269447,25702
160000,unbased,295779,24945.97
160000,based,151935,39035
170000,unbased,192991,32873.00
170000,based,153825,38318
180000,unbased,250704,28173.79
180000,based,159816,36496
190000,unbased,209145,31709.31
190000,based,180450,34605
200000,unbased,180623,34737.86
200000,based,162163,37078
210000,unbased,158211,38270.20
210000,based,145835,39616
220000,unbased,189135,34228.32
220000,based,115726,45338
230000,unbased,156664,38076.09
230000,based,158688,36976
240000,unbased,195413,31982.24
240000,based,189407,32542
250000,unbased,155665,38179.18
250000,based,147600,38778
260000,unbased,173781,35268.96
260000,based,115611,45112
270000,unbased,170387,34805.89
270000,based,193726,30974
280000,unbased,159986,37470.50
280000,based,135904,40216
290000,unbased,251818,26962.42
290000,based,209320,29911
300000,unbased,312707,22523.48
300000,based,278453,24141
310000,unbased,314327,22540.95
310000,based,318162,21808
320000,unbased,292948,23911.19
320000,based,280749,23812
330000,unbased,274511,25032.60
330000,based,291070,23661
340000,unbased,271566,25613.40
340000,based,263424,25430
350000,unbased,255133,27235.41
350000,based,270777,25725
360000,unbased,313372,23741.90
360000,based,294112,23789
370000,unbased,301748,24221.90
370000,based,287831,24558
380000,unbased,288175,24338.58
380000,based,304359,23087
390000,unbased,280476,24883.40
390000,based,285961,24241
400000,unbased,314151,22962.08
400000,based,294470,23446
410000,unbased,296607,24103.02
410000,based,300588,22787
420000,unbased,306030,23037.14
420000,based,295265,23528
430000,unbased,310081,23561.39
430000,based,312570,22827
440000,unbased,305224,23895.88
440000,based,307702,23069
450000,unbased,305318,23328.45
450000,based,303154,22711
460000,unbased,310703,23153.45
460000,based,310178,22651
470000,unbased,307987,23685.80
470000,based,311066,22716
480000,unbased,310873,23356.01
480000,based,300238,23110
490000,unbased,317716,22303.41
490000,based,314962,22091
500000,unbased,308414,23207.41
500000,based,331300,21819
510000,unbased,309770,23503.63
510000,based,321581,22289
520000,unbased,326567,22440.85
520000,based,309982,22180
530000,unbased,329896,22228.71
530000,based,317516,22526
540000,unbased,331690,22237.51
540000,based,319033,22602
550000,unbased,332726,22362.75
550000,based,333817,21778
560000,unbased,317252,23389.67
560000,based,326497,22114
570000,unbased,311100,23689.02
570000,based,328398,21877
580000,unbased,314733,23423.96
580000,based,321191,22373
590000,unbased,319317,22793.68
590000,based,317365,22232
600000,unbased,324579,22343.36
600000,based,311661,22272
610000,unbased,325827,22123.29
610000,based,324436,21802
620000,unbased,321991,22794.63
620000,based,304670,22585
630000,unbased,318529,22267.17
630000,based,332642,21476
640000,unbased,326581,22146.50
640000,based,313634,22385
650000,unbased,329141,22135.38
650000,based,321307,21832
660000,unbased,334651,21664.93
660000,based,315079,22350
670000,unbased,328865,22042.12
670000,based,315036,22514
680000,unbased,329020,22071.64
680000,based,319886,22160
690000,unbased,325875,22001.07
690000,based,329154,21433
700000,unbased,331642,21599.28
700000,based,329685,21416
710000,unbased,324363,22378.37
710000,based,332854,21635
720000,unbased,323193,22522.28
720000,based,330912,21443
730000,unbased,320767,22709.39
730000,based,329820,21739
740000,unbased,325111,22334.21
740000,based,323908,22059
750000,unbased,330755,22033.46
750000,based,323365,22263
760000,unbased,327944,22311.14
760000,based,322130,21934
770000,unbased,321908,22378.54
770000,based,318156,21963
780000,unbased,323273,22110.58
780000,based,324045,21450
790000,unbased,330011,22229.33
790000,based,335990,21440
800000,unbased,326089,22252.82
800000,based,326357,22085
810000,unbased,325044,22030.49
810000,based,334096,21218
820000,unbased,320311,22354.54
820000,based,337612,20942
830000,unbased,323470,22439.90
830000,based,330317,21899
840000,unbased,328334,21751.47
840000,based,319212,21840
850000,unbased,324299,21915.20
850000,based,327580,21682
860000,unbased,324382,22410.94
860000,based,333172,21482
870000,unbased,333105,22121.67
870000,based,324896,22130
880000,unbased,326842,22025.79
880000,based,325889,21709
890000,unbased,326029,21909.78
890000,based,320789,22053
900000,unbased,317542,22221.15
900000,based,329714,21276
910000,unbased,320475,22668.13
910000,based,324562,21910
920000,unbased,327534,21940.32
920000,based,323561,21607
930000,unbased,324121,22607.38
930000,based,327477,21534
940000,unbased,336891,21803.90
940000,based,323353,22149
950000,unbased,332999,22305.17
950000,based,330257,21882
960000,unbased,327995,21834.58
960000,based,322937,21809
970000,unbased,324646,22020.39
970000,based,331427,21628
980000,unbased,320331,22115.88
980000,based,326575,21508
990000,unbased,327629,21954.10
990000,based,328204,21542
1000000,unbased,326641,22062.05
1000000,based,324861,21631
